Unicode,Char,Name,Ascender,Descender,Symmetry,Bouba_Score
U+0021,!,EXCLAMATION MARK,True,False,Symmetrical,0.727
U+0022,"""",QUOTATION MARK,True,False,Symmetrical,0.0
U+0023,#,NUMBER SIGN,True,False,Symmetrical,0.0
U+0024,$,DOLLAR SIGN,True,True,Symmetrical,0.735
U+0025,%,PERCENT SIGN,True,False,Symmetrical,0.903
U+0026,&,AMPERSAND,True,False,Right-Pointing,0.865
U+0027,',APOSTROPHE,True,False,Symmetrical,0.0
U+0028,(,LEFT PARENTHESIS,True,True,Right-Pointing,0.8
U+0029,),RIGHT PARENTHESIS,True,True,Left-Pointing,0.8
U+002A,*,ASTERISK,True,False,Symmetrical,0.0
U+002B,+,PLUS SIGN,True,False,Symmetrical,0.0
U+002C,",",COMMA,False,True,Symmetrical,0.667
U+002D,-,HYPHEN-MINUS,False,False,Symmetrical,0.0
U+002E,.,FULL STOP,False,False,Symmetrical,1.0
U+002F,/,SOLIDUS,True,False,Symmetrical,0.0
U+0030,0,DIGIT ZERO,True,False,Symmetrical,1.0
U+0031,1,DIGIT ONE,True,False,Left-Pointing,0.4
U+0032,2,DIGIT TWO,True,False,Symmetrical,0.667
U+0033,3,DIGIT THREE,True,False,Left-Pointing,0.806
U+0034,4,DIGIT FOUR,True,False,Left-Pointing,0.235
U+0035,5,DIGIT FIVE,True,False,Symmetrical,0.696
U+0036,6,DIGIT SIX,True,False,Symmetrical,0.939
U+0037,7,DIGIT SEVEN,True,False,Left-Pointing,0.0
U+0038,8,DIGIT EIGHT,True,False,Symmetrical,0.974
U+0039,9,DIGIT NINE,True,False,Symmetrical,0.939
U+003A,:,COLON,False,False,Symmetrical,1.0
U+003B,;,SEMICOLON,False,True,Symmetrical,0.867
U+003C,<,LESS-THAN SIGN,True,False,Symmetrical,0.0
U+003D,=,EQUALS SIGN,False,False,Symmetrical,0.0
U+003E,>,GREATER-THAN SIGN,True,False,Symmetrical,0.0
U+003F,?,QUESTION MARK,True,False,Left-Pointing,0.903
U+0040,@,COMMERCIAL AT,True,True,Symmetrical,0.93
U+0041,A,LATIN CAPITAL LETTER A,True,False,Symmetrical,0.357
U+0042,B,LATIN CAPITAL LETTER B,True,False,Right-Pointing,0.708
U+0043,C,LATIN CAPITAL LETTER C,True,False,Right-Pointing,0.895
