ARPABET,Current_Glyph,Hex_Code,Unicode_Name,New_Glyph,Notes
P,𐑐,U+10450,SHAVIAN LETTER PEEP,𐑐,
T,𐑑,U+10451,SHAVIAN LETTER TOT,⌉,
K,𐑒,U+10452,SHAVIAN LETTER KICK,⌈,
F,𐑓,U+10453,SHAVIAN LETTER FEE,ᕋ,
TH,𐑔,U+10454,SHAVIAN LETTER THIGH,ᖷ,
S,𐑕,U+10455,SHAVIAN LETTER SO,ᔦ,
SH,𐑖,U+10456,SHAVIAN LETTER SURE,ᔨ,
CH,𐑗,U+10457,SHAVIAN LETTER CHURCH,ᖨ,
HH,𐑙,U+10459,SHAVIAN LETTER HUNG,ᖼ,
B,𐑚,U+1045A,SHAVIAN LETTER BIB,𐑓,
D,𐑛,U+1045B,SHAVIAN LETTER DEAD,⌋,
G,𐑜,U+1045C,SHAVIAN LETTER GAG,⌊,
V,𐑝,U+1045D,SHAVIAN LETTER VOW,ᕍ,
DH,𐑞,U+1045E,SHAVIAN LETTER THEY,ᖵ,
Z,𐑟,U+1045F,SHAVIAN LETTER ZOO,ᔪ,
ZH,𐑠,U+10460,SHAVIAN LETTER MEASURE,ᔭ,
JH,𐑡,U+10461,SHAVIAN LETTER JUDGE,ᖬ,
M,𐑥,U+10465,SHAVIAN LETTER MIME,ᗀ,
N,𐑯,U+1046F,SHAVIAN LETTER NUN,ᖹ,
NG,𐑳,U+10473,SHAVIAN LETTER UP,ᖺ,
L,𐑤,U+10464,SHAVIAN LETTER LOLL,𐑤,
R,𐑮,U+1046E,SHAVIAN LETTER ROAR,𐑮,
W,𐑭,U+1046D,SHAVIAN LETTER AH,ᓱ,
Y,𐑿,U+1047F,SHAVIAN LETTER YEW,ᓴ,
IY,𐑰,U+10470,SHAVIAN LETTER EAT,−,
IH,𐑦,U+10466,SHAVIAN LETTER IF,╷,
EY,𐑱,U+10471,SHAVIAN LETTER AGE,ᗜ,
EH,𐑧,U+10467,SHAVIAN LETTER EGG,∪,
AE,𐑨,U+10468,SHAVIAN LETTER ASH,∩,
AA,𐑪,U+1046A,SHAVIAN LETTER ON,o,
AO,𐑪,U+1046A,SHAVIAN LETTER ON,o,
AH,𐑩,U+10469,SHAVIAN LETTER ADO,𐤟,
UH,𐑫,U+1046B,SHAVIAN LETTER WOOL,∧,
UW,𐑵,U+10475,SHAVIAN LETTER OOZE,∨,
AY,𐑲,U+10472,SHAVIAN LETTER ICE,ᗝ,
OY,𐑶,U+10476,SHAVIAN LETTER OIL,Ō,
AW,𐑬,U+1046C,SHAVIAN LETTER OUT,,
OW,𐑴,U+10474,SHAVIAN LETTER OAK,Ô,
ER,𐑻,U+1047B,SHAVIAN LETTER ERR,,
EH+R,𐑺,U+1047A,SHAVIAN LETTER AIR,,
AO+R,𐑹,U+10479,SHAVIAN LETTER OR,,
AA+R,𐑸,U+10478,SHAVIAN LETTER ARE,,
IH+R,𐑽,U+1047D,SHAVIAN LETTER EAR,,
IY+R,𐑽,U+1047D,SHAVIAN LETTER EAR,,
AH+R,𐑼,U+1047C,SHAVIAN LETTER ARRAY,,
